연도,자치구,주택유형,경과연수,노후주택수
2017,성동구,연립주택,20년~30년미만,435
2017,광진구,연립주택,20년~30년미만,1646
2017,동대문구,연립주택,20년~30년미만,581
2017,중랑구,연립주택,20년~30년미만,1823
2017,성북구,연립주택,20년~30년미만,3250
2017,강북구,연립주택,20년~30년미만,1834
2017,도봉구,연립주택,20년~30년미만,1979
2017,노원구,연립주택,20년~30년미만,1809
2017,은평구,연립주택,20년~30년미만,3593
2017,서대문구,연립주택,20년~30년미만,2080
2017,마포구,연립주택,20년~30년미만,1410
2017,양천구,연립주택,20년~30년미만,1489
2017,강서구,연립주택,20년~30년미만,1684
2017,구로구,연립주택,20년~30년미만,3293
2017,금천구,연립주택,20년~30년미만,1549
2017,영등포구,연립주택,20년~30년미만,316
2017,동작구,연립주택,20년~30년미만,2699
2017,관악구,연립주택,20년~30년미만,3659
2017,서초구,연립주택,20년~30년미만,3381
2017,강남구,연립주택,20년~30년미만,2568
2017,송파구,연립주택,20년~30년미만,3791
2017,강동구,연립주택,20년~30년미만,2125
2017,종로구,다세대주택,20년~30년미만,3734
2017,중구,다세대주택,20년~30년미만,1269
2017,용산구,다세대주택,20년~30년미만,3749
2017,성동구,다세대주택,20년~30년미만,3075
2017,광진구,다세대주택,20년~30년미만,4047
2017,동대문구,다세대주택,20년~30년미만,3005
2017,중랑구,다세대주택,20년~30년미만,3054
2017,성북구,다세대주택,20년~30년미만,6921
2017,강북구,다세대주택,20년~30년미만,13039
2017,도봉구,다세대주택,20년~30년미만,8873
2017,노원구,다세대주택,20년~30년미만,4592
2017,은평구,다세대주택,20년~30년미만,17015
2017,서대문구,다세대주택,20년~30년미만,6768
2017,마포구,다세대주택,20년~30년미만,9065
2017,양천구,다세대주택,20년~30년미만,11671
2017,강서구,다세대주택,20년~30년미만,9593
2017,구로구,다세대주택,20년~30년미만,6082
2017,금천구,다세대주택,20년~30년미만,2295
2017,영등포구,다세대주택,20년~30년미만,1642
2017,동작구,다세대주택,20년~30년미만,7052
2017,관악구,다세대주택,20년~30년미만,12960
2017,서초구,다세대주택,20년~30년미만,5130
2017,강남구,다세대주택,20년~30년미만,4119
2017,송파구,다세대주택,20년~30년미만,10423
2017,강동구,다세대주택,20년~30년미만,2934
2017,종로구,단독주택,30년 이상,8656
2017,중구,단독주택,30년 이상,3960
2017,용산구,단독주택,30년 이상,9074
2017,성동구,단독주택,30년 이상,4984
2017,광진구,단독주택,30년 이상,4873
2017,동대문구,단독주택,30년 이상,10899
2017,중랑구,단독주택,30년 이상,6381
2017,성북구,단독주택,30년 이상,14857
2017,강북구,단독주택,30년 이상,8867
2017,도봉구,단독주택,30년 이상,3636
2017,노원구,단독주택,30년 이상,3550
2017,은평구,단독주택,30년 이상,7500
2017,서대문구,단독주택,30년 이상,7688
2017,마포구,단독주택,30년 이상,5373
2017,양천구,단독주택,30년 이상,2653
2017,강서구,단독주택,30년 이상,3705
2017,구로구,단독주택,30년 이상,5060
2017,금천구,단독주택,30년 이상,4289
2017,영등포구,단독주택,30년 이상,6320
2017,동작구,단독주택,30년 이상,6783
2017,관악구,단독주택,30년 이상,7974
2017,서초구,단독주택,30년 이상,2684
2017,강남구,단독주택,30년 이상,1569
2017,송파구,단독주택,30년 이상,2837
2017,강동구,단독주택,30년 이상,3370
2017,종로구,아파트,30년 이상,1416
2017,중구,아파트,30년 이상,1861
2017,용산구,아파트,30년 이상,8690
2017,성동구,아파트,30년 이상,4081
2017,광진구,아파트,30년 이상,2051
2017,동대문구,아파트,30년 이상,2813
2017,중랑구,아파트,30년 이상,401
2017,성북구,아파트,30년 이상,1508
2017,강북구,아파트,30년 이상,30
2017,도봉구,아파트,30년 이상,3928
2017,노원구,아파트,30년 이상,7918
2017,은평구,아파트,30년 이상,222
2017,서대문구,아파트,30년 이상,3295
2017,마포구,아파트,30년 이상,4346
2017,양천구,아파트,30년 이상,21103
2017,강서구,아파트,30년 이상,1082
2017,구로구,아파트,30년 이상,5102
2017,금천구,아파트,30년 이상,2891
2017,영등포구,아파트,30년 이상,16607
2017,동작구,아파트,30년 이상,605
2017,관악구,아파트,30년 이상,2788
2017,서초구,아파트,30년 이상,21954
2017,강남구,아파트,30년 이상,39958
2017,송파구,아파트,30년 이상,23687
2017,강동구,아파트,30년 이상,18202
2017,종로구,연립주택,30년 이상,957
2017,중구,연립주택,30년 이상,257
2017,용산구,연립주택,30년 이상,785
2017,성동구,연립주택,30년 이상,1301
2017,광진구,연립주택,30년 이상,1569
2017,동대문구,연립주택,30년 이상,1620
2017,중랑구,연립주택,30년 이상,2182
2017,성북구,연립주택,30년 이상,1573
2017,강북구,연립주택,30년 이상,1382
2017,도봉구,연립주택,30년 이상,995
2017,노원구,연립주택,30년 이상,535
2017,은평구,연립주택,30년 이상,1468
2017,서대문구,연립주택,30년 이상,1694
2017,마포구,연립주택,30년 이상,1464
2017,양천구,연립주택,30년 이상,1960
2017,강서구,연립주택,30년 이상,2260
2017,구로구,연립주택,30년 이상,2933
2017,금천구,연립주택,30년 이상,1710
2017,영등포구,연립주택,30년 이상,733
2017,동작구,연립주택,30년 이상,1099
2017,관악구,연립주택,30년 이상,1292
2017,서초구,연립주택,30년 이상,1223
2017,강남구,연립주택,30년 이상,1293
